task_id,priority,field_class,path,target_csv,current_source_category,current_value,required_source,acceptable_source_categories,current_papers_can_fill,note
LEGDATA-014,P0,constraint_topology,legs[0].constraint_topology.B_joint_type,constraint_topology.csv,missing_required,,"Adams constraint graph, CAD mate definitions, or author topology table",cad_export;adams_export;author_data;measured;calibrated;paper;computed_from_source;engineering_data,False,Use a traceable non-synthetic source. Leave blank until real source data are available.
LEGDATA-015,P0,constraint_topology,legs[0].constraint_topology.T_joint_type,constraint_topology.csv,missing_required,,"Adams constraint graph, CAD mate definitions, or author topology table",cad_export;adams_export;author_data;measured;calibrated;paper;computed_from_source;engineering_data,False,Use a traceable non-synthetic source. Leave blank until real source data are available.
LEGDATA-016,P0,constraint_topology,legs[0].constraint_topology.K_joint_type,constraint_topology.csv,missing_required,,"Adams constraint graph, CAD mate definitions, or author topology table",cad_export;adams_export;author_data;measured;calibrated;paper;computed_from_source;engineering_data,False,Use a traceable non-synthetic source. Leave blank until real source data are available.
LEGDATA-017,P0,constraint_topology,legs[0].constraint_topology.P_joint_type,constraint_topology.csv,missing_required,,"Adams constraint graph, CAD mate definitions, or author topology table",cad_export;adams_export;author_data;measured;calibrated;paper;computed_from_source;engineering_data,False,Use a traceable non-synthetic source. Leave blank until real source data are available.
LEGDATA-018,P0,constraint_topology,legs[0].constraint_topology.absorber_slider_axis_xyz,constraint_topology.csv,missing_required,,"Adams constraint graph, CAD mate definitions, or author topology table",cad_export;adams_export;author_data;measured;calibrated;paper;computed_from_source;engineering_data,False,Use a traceable non-synthetic source. Leave blank until real source data are available.
LEGDATA-019,P0,constraint_topology,legs[0].constraint_topology.joint_limit_definitions,constraint_topology.csv,missing_required,,"Adams constraint graph, CAD mate definitions, or author topology table",cad_export;adams_export;author_data;measured;calibrated;paper;computed_from_source;engineering_data,False,Use a traceable non-synthetic source. Leave blank until real source data are available.
LEGDATA-020,P0,body_properties,legs[0].body_properties.main_strut.mass_kg,body_properties.csv,missing_required,,CAD mass-property export or validated component mass budget,cad_export;adams_export;author_data;measured;calibrated;paper;computed_from_source;engineering_data,False,Use a traceable non-synthetic source. Leave blank until real source data are available.
LEGDATA-021,P0,body_properties,legs[0].body_properties.main_strut.com_xyz_m,body_properties.csv,missing_required,,CAD mass-property export or validated component mass budget,cad_export;adams_export;author_data;measured;calibrated;paper;computed_from_source;engineering_data,False,Use a traceable non-synthetic source. Leave blank until real source data are available.
LEGDATA-022,P0,body_properties,legs[0].body_properties.main_strut.inertia_kg_m2,body_properties.csv,missing_required,,CAD mass-property export or validated component mass budget,cad_export;adams_export;author_data;measured;calibrated;paper;computed_from_source;engineering_data,False,Use a traceable non-synthetic source. Leave blank until real source data are available.
LEGDATA-023,P0,body_properties,legs[0].body_properties.long_auxiliary_strut.mass_kg,body_properties.csv,missing_required,,CAD mass-property export or validated component mass budget,cad_export;adams_export;author_data;measured;calibrated;paper;computed_from_source;engineering_data,False,Use a traceable non-synthetic source. Leave blank until real source data are available.
LEGDATA-024,P0,body_properties,legs[0].body_properties.long_auxiliary_strut.com_xyz_m,body_properties.csv,missing_required,,CAD mass-property export or validated component mass budget,cad_export;adams_export;author_data;measured;calibrated;paper;computed_from_source;engineering_data,False,Use a traceable non-synthetic source. Leave blank until real source data are available.
LEGDATA-025,P0,body_properties,legs[0].body_properties.long_auxiliary_strut.inertia_kg_m2,body_properties.csv,missing_required,,CAD mass-property export or validated component mass budget,cad_export;adams_export;author_data;measured;calibrated;paper;computed_from_source;engineering_data,False,Use a traceable non-synthetic source. Leave blank until real source data are available.
LEGDATA-026,P0,body_properties,legs[0].body_properties.short_auxiliary_strut.mass_kg,body_properties.csv,missing_required,,CAD mass-property export or validated component mass budget,cad_export;adams_export;author_data;measured;calibrated;paper;computed_from_source;engineering_data,False,Use a traceable non-synthetic source. Leave blank until real source data are available.
LEGDATA-027,P0,body_properties,legs[0].body_properties.short_auxiliary_strut.com_xyz_m,body_properties.csv,missing_required,,CAD mass-property export or validated component mass budget,cad_export;adams_export;author_data;measured;calibrated;paper;computed_from_source;engineering_data,False,Use a traceable non-synthetic source. Leave blank until real source data are available.
LEGDATA-028,P0,body_properties,legs[0].body_properties.short_auxiliary_strut.inertia_kg_m2,body_properties.csv,missing_required,,CAD mass-property export or validated component mass budget,cad_export;adams_export;author_data;measured;calibrated;paper;computed_from_source;engineering_data,False,Use a traceable non-synthetic source. Leave blank until real source data are available.
LEGDATA-029,P0,body_properties,legs[0].body_properties.footpad.mass_kg,body_properties.csv,missing_required,,CAD mass-property export or validated component mass budget,cad_export;adams_export;author_data;measured;calibrated;paper;computed_from_source;engineering_data,False,Use a traceable non-synthetic source. Leave blank until real source data are available.
LEGDATA-030,P0,body_properties,legs[0].body_properties.footpad.com_xyz_m,body_properties.csv,missing_required,,CAD mass-property export or validated component mass budget,cad_export;adams_export;author_data;measured;calibrated;paper;computed_from_source;engineering_data,False,Use a traceable non-synthetic source. Leave blank until real source data are available.
LEGDATA-031,P0,body_properties,legs[0].body_properties.footpad.inertia_kg_m2,body_properties.csv,missing_required,,CAD mass-property export or validated component mass budget,cad_export;adams_export;author_data;measured;calibrated;paper;computed_from_source;engineering_data,False,Use a traceable non-synthetic source. Leave blank until real source data are available.
LEGDATA-032,P0,azimuths,legs[1].azimuth_deg,leg_azimuths.csv,engineering_assumption,135.0,CAD/Adams leg layout export or published four-leg azimuth table,cad_export;adams_export;author_data;measured;calibrated;paper;computed_from_source;engineering_data,False,Use a traceable non-synthetic source. Leave blank until real source data are available.
LEGDATA-033,P0,marker_coordinates,legs[1].adams_equivalent_geometry.B_rocket_marker_xyz_m.x,marker_coordinates.csv,missing_required,,CAD/Adams marker export for B/T/K/P in a declared rocket body frame,cad_export;adams_export;author_data;measured;calibrated;paper;computed_from_source;engineering_data,False,Use a traceable non-synthetic source. Leave blank until real source data are available.
LEGDATA-034,P0,marker_coordinates,legs[1].adams_equivalent_geometry.B_rocket_marker_xyz_m.y,marker_coordinates.csv,missing_required,,CAD/Adams marker export for B/T/K/P in a declared rocket body frame,cad_export;adams_export;author_data;measured;calibrated;paper;computed_from_source;engineering_data,False,Use a traceable non-synthetic source. Leave blank until real source data are available.
LEGDATA-035,P0,marker_coordinates,legs[1].adams_equivalent_geometry.T_rocket_marker_xyz_m.x,marker_coordinates.csv,missing_required,,CAD/Adams marker export for B/T/K/P in a declared rocket body frame,cad_export;adams_export;author_data;measured;calibrated;paper;computed_from_source;engineering_data,False,Use a traceable non-synthetic source. Leave blank until real source data are available.
LEGDATA-036,P0,marker_coordinates,legs[1].adams_equivalent_geometry.T_rocket_marker_xyz_m.y,marker_coordinates.csv,missing_required,,CAD/Adams marker export for B/T/K/P in a declared rocket body frame,cad_export;adams_export;author_data;measured;calibrated;paper;computed_from_source;engineering_data,False,Use a traceable non-synthetic source. Leave blank until real source data are available.
LEGDATA-037,P0,marker_coordinates,legs[1].adams_equivalent_geometry.K_rocket_marker_xyz_m.x,marker_coordinates.csv,missing_required,,CAD/Adams marker export for B/T/K/P in a declared rocket body frame,cad_export;adams_export;author_data;measured;calibrated;paper;computed_from_source;engineering_data,False,Use a traceable non-synthetic source. Leave blank until real source data are available.
LEGDATA-038,P0,marker_coordinates,legs[1].adams_equivalent_geometry.K_rocket_marker_xyz_m.y,marker_coordinates.csv,missing_required,,CAD/Adams marker export for B/T/K/P in a declared rocket body frame,cad_export;adams_export;author_data;measured;calibrated;paper;computed_from_source;engineering_data,False,Use a traceable non-synthetic source. Leave blank until real source data are available.
LEGDATA-039,P0,marker_coordinates,legs[1].adams_equivalent_geometry.P_footpad_marker_xyz_m.x,marker_coordinates.csv,missing_required,,CAD/Adams marker export for B/T/K/P in a declared rocket body frame,cad_export;adams_export;author_data;measured;calibrated;paper;computed_from_source;engineering_data,False,Use a traceable non-synthetic source. Leave blank until real source data are available.
LEGDATA-040,P0,marker_coordinates,legs[1].adams_equivalent_geometry.P_footpad_marker_xyz_m.y,marker_coordinates.csv,missing_required,,CAD/Adams marker export for B/T/K/P in a declared rocket body frame,cad_export;adams_export;author_data;measured;calibrated;paper;computed_from_source;engineering_data,False,Use a traceable non-synthetic source. Leave blank until real source data are available.
LEGDATA-041,P0,marker_coordinates,legs[1].adams_equivalent_geometry.P_footpad_marker_xyz_m.z,marker_coordinates.csv,missing_required,,CAD/Adams marker export for B/T/K/P in a declared rocket body frame,cad_export;adams_export;author_data;measured;calibrated;paper;computed_from_source;engineering_data,False,Use a traceable non-synthetic source. Leave blank until real source data are available.
LEGDATA-042,P0,constraint_topology,legs[1].constraint_topology.B_joint_type,constraint_topology.csv,missing_required,,"Adams constraint graph, CAD mate definitions, or author topology table",cad_export;adams_export;author_data;measured;calibrated;paper;computed_from_source;engineering_data,False,Use a traceable non-synthetic source. Leave blank until real source data are available.
LEGDATA-043,P0,constraint_topology,legs[1].constraint_topology.T_joint_type,constraint_topology.csv,missing_required,,"Adams constraint graph, CAD mate definitions, or author topology table",cad_export;adams_export;author_data;measured;calibrated;paper;computed_from_source;engineering_data,False,Use a traceable non-synthetic source. Leave blank until real source data are available.
LEGDATA-044,P0,constraint_topology,legs[1].constraint_topology.K_joint_type,constraint_topology.csv,missing_required,,"Adams constraint graph, CAD mate definitions, or author topology table",cad_export;adams_export;author_data;measured;calibrated;paper;computed_from_source;engineering_data,False,Use a traceable non-synthetic source. Leave blank until real source data are available.
LEGDATA-045,P0,constraint_topology,legs[1].constraint_topology.P_joint_type,constraint_topology.csv,missing_required,,"Adams constraint graph, CAD mate definitions, or author topology table",cad_export;adams_export;author_data;measured;calibrated;paper;computed_from_source;engineering_data,False,Use a traceable non-synthetic source. Leave blank until real source data are available.
LEGDATA-046,P0,constraint_topology,legs[1].constraint_topology.absorber_slider_axis_xyz,constraint_topology.csv,missing_required,,"Adams constraint graph, CAD mate definitions, or author topology table",cad_export;adams_export;author_data;measured;calibrated;paper;computed_from_source;engineering_data,False,Use a traceable non-synthetic source. Leave blank until real source data are available.
LEGDATA-047,P0,constraint_topology,legs[1].constraint_topology.joint_limit_definitions,constraint_topology.csv,missing_required,,"Adams constraint graph, CAD mate definitions, or author topology table",cad_export;adams_export;author_data;measured;calibrated;paper;computed_from_source;engineering_data,False,Use a traceable non-synthetic source. Leave blank until real source data are available.
LEGDATA-048,P0,body_properties,legs[1].body_properties.main_strut.mass_kg,body_properties.csv,missing_required,,CAD mass-property export or validated component mass budget,cad_export;adams_export;author_data;measured;calibrated;paper;computed_from_source;engineering_data,False,Use a traceable non-synthetic source. Leave blank until real source data are available.
LEGDATA-049,P0,body_properties,legs[1].body_properties.main_strut.com_xyz_m,body_properties.csv,missing_required,,CAD mass-property export or validated component mass budget,cad_export;adams_export;author_data;measured;calibrated;paper;computed_from_source;engineering_data,False,Use a traceable non-synthetic source. Leave blank until real source data are available.
LEGDATA-050,P0,body_properties,legs[1].body_properties.main_strut.inertia_kg_m2,body_properties.csv,missing_required,,CAD mass-property export or validated component mass budget,cad_export;adams_export;author_data;measured;calibrated;paper;computed_from_source;engineering_data,False,Use a traceable non-synthetic source. Leave blank until real source data are available.
LEGDATA-051,P0,body_properties,legs[1].body_properties.long_auxiliary_strut.mass_kg,body_properties.csv,missing_required,,CAD mass-property export or validated component mass budget,cad_export;adams_export;author_data;measured;calibrated;paper;computed_from_source;engineering_data,False,Use a traceable non-synthetic source. Leave blank until real source data are available.
LEGDATA-052,P0,body_properties,legs[1].body_properties.long_auxiliary_strut.com_xyz_m,body_properties.csv,missing_required,,CAD mass-property export or validated component mass budget,cad_export;adams_export;author_data;measured;calibrated;paper;computed_from_source;engineering_data,False,Use a traceable non-synthetic source. Leave blank until real source data are available.
LEGDATA-053,P0,body_properties,legs[1].body_properties.long_auxiliary_strut.inertia_kg_m2,body_properties.csv,missing_required,,CAD mass-property export or validated component mass budget,cad_export;adams_export;author_data;measured;calibrated;paper;computed_from_source;engineering_data,False,Use a traceable non-synthetic source. Leave blank until real source data are available.
LEGDATA-054,P0,body_properties,legs[1].body_properties.short_auxiliary_strut.mass_kg,body_properties.csv,missing_required,,CAD mass-property export or validated component mass budget,cad_export;adams_export;author_data;measured;calibrated;paper;computed_from_source;engineering_data,False,Use a traceable non-synthetic source. Leave blank until real source data are available.
LEGDATA-055,P0,body_properties,legs[1].body_properties.short_auxiliary_strut.com_xyz_m,body_properties.csv,missing_required,,CAD mass-property export or validated component mass budget,cad_export;adams_export;author_data;measured;calibrated;paper;computed_from_source;engineering_data,False,Use a traceable non-synthetic source. Leave blank until real source data are available.
LEGDATA-056,P0,body_properties,legs[1].body_properties.short_auxiliary_strut.inertia_kg_m2,body_properties.csv,missing_required,,CAD mass-property export or validated component mass budget,cad_export;adams_export;author_data;measured;calibrated;paper;computed_from_source;engineering_data,False,Use a traceable non-synthetic source. Leave blank until real source data are available.
LEGDATA-057,P0,body_properties,legs[1].body_properties.footpad.mass_kg,body_properties.csv,missing_required,,CAD mass-property export or validated component mass budget,cad_export;adams_export;author_data;measured;calibrated;paper;computed_from_source;engineering_data,False,Use a traceable non-synthetic source. Leave blank until real source data are available.
LEGDATA-058,P0,body_properties,legs[1].body_properties.footpad.com_xyz_m,body_properties.csv,missing_required,,CAD mass-property export or validated component mass budget,cad_export;adams_export;author_data;measured;calibrated;paper;computed_from_source;engineering_data,False,Use a traceable non-synthetic source. Leave blank until real source data are available.
LEGDATA-059,P0,body_properties,legs[1].body_properties.footpad.inertia_kg_m2,body_properties.csv,missing_required,,CAD mass-property export or validated component mass budget,cad_export;adams_export;author_data;measured;calibrated;paper;computed_from_source;engineering_data,False,Use a traceable non-synthetic source. Leave blank until real source data are available.
LEGDATA-060,P0,azimuths,legs[2].azimuth_deg,leg_azimuths.csv,engineering_assumption,225.0,CAD/Adams leg layout export or published four-leg azimuth table,cad_export;adams_export;author_data;measured;calibrated;paper;computed_from_source;engineering_data,False,Use a traceable non-synthetic source. Leave blank until real source data are available.
LEGDATA-061,P0,marker_coordinates,legs[2].adams_equivalent_geometry.B_rocket_marker_xyz_m.x,marker_coordinates.csv,missing_required,,CAD/Adams marker export for B/T/K/P in a declared rocket body frame,cad_export;adams_export;author_data;measured;calibrated;paper;computed_from_source;engineering_data,False,Use a traceable non-synthetic source. Leave blank until real source data are available.
LEGDATA-062,P0,marker_coordinates,legs[2].adams_equivalent_geometry.B_rocket_marker_xyz_m.y,marker_coordinates.csv,missing_required,,CAD/Adams marker export for B/T/K/P in a declared rocket body frame,cad_export;adams_export;author_data;measured;calibrated;paper;computed_from_source;engineering_data,False,Use a traceable non-synthetic source. Leave blank until real source data are available.
LEGDATA-063,P0,marker_coordinates,legs[2].adams_equivalent_geometry.T_rocket_marker_xyz_m.x,marker_coordinates.csv,missing_required,,CAD/Adams marker export for B/T/K/P in a declared rocket body frame,cad_export;adams_export;author_data;measured;calibrated;paper;computed_from_source;engineering_data,False,Use a traceable non-synthetic source. Leave blank until real source data are available.
LEGDATA-064,P0,marker_coordinates,legs[2].adams_equivalent_geometry.T_rocket_marker_xyz_m.y,marker_coordinates.csv,missing_required,,CAD/Adams marker export for B/T/K/P in a declared rocket body frame,cad_export;adams_export;author_data;measured;calibrated;paper;computed_from_source;engineering_data,False,Use a traceable non-synthetic source. Leave blank until real source data are available.
LEGDATA-065,P0,marker_coordinates,legs[2].adams_equivalent_geometry.K_rocket_marker_xyz_m.x,marker_coordinates.csv,missing_required,,CAD/Adams marker export for B/T/K/P in a declared rocket body frame,cad_export;adams_export;author_data;measured;calibrated;paper;computed_from_source;engineering_data,False,Use a traceable non-synthetic source. Leave blank until real source data are available.
LEGDATA-066,P0,marker_coordinates,legs[2].adams_equivalent_geometry.K_rocket_marker_xyz_m.y,marker_coordinates.csv,missing_required,,CAD/Adams marker export for B/T/K/P in a declared rocket body frame,cad_export;adams_export;author_data;measured;calibrated;paper;computed_from_source;engineering_data,False,Use a traceable non-synthetic source. Leave blank until real source data are available.
LEGDATA-067,P0,marker_coordinates,legs[2].adams_equivalent_geometry.P_footpad_marker_xyz_m.x,marker_coordinates.csv,missing_required,,CAD/Adams marker export for B/T/K/P in a declared rocket body frame,cad_export;adams_export;author_data;measured;calibrated;paper;computed_from_source;engineering_data,False,Use a traceable non-synthetic source. Leave blank until real source data are available.
LEGDATA-068,P0,marker_coordinates,legs[2].adams_equivalent_geometry.P_footpad_marker_xyz_m.y,marker_coordinates.csv,missing_required,,CAD/Adams marker export for B/T/K/P in a declared rocket body frame,cad_export;adams_export;author_data;measured;calibrated;paper;computed_from_source;engineering_data,False,Use a traceable non-synthetic source. Leave blank until real source data are available.
LEGDATA-069,P0,marker_coordinates,legs[2].adams_equivalent_geometry.P_footpad_marker_xyz_m.z,marker_coordinates.csv,missing_required,,CAD/Adams marker export for B/T/K/P in a declared rocket body frame,cad_export;adams_export;author_data;measured;calibrated;paper;computed_from_source;engineering_data,False,Use a traceable non-synthetic source. Leave blank until real source data are available.
LEGDATA-070,P0,constraint_topology,legs[2].constraint_topology.B_joint_type,constraint_topology.csv,missing_required,,"Adams constraint graph, CAD mate definitions, or author topology table",cad_export;adams_export;author_data;measured;calibrated;paper;computed_from_source;engineering_data,False,Use a traceable non-synthetic source. Leave blank until real source data are available.
LEGDATA-071,P0,constraint_topology,legs[2].constraint_topology.T_joint_type,constraint_topology.csv,missing_required,,"Adams constraint graph, CAD mate definitions, or author topology table",cad_export;adams_export;author_data;measured;calibrated;paper;computed_from_source;engineering_data,False,Use a traceable non-synthetic source. Leave blank until real source data are available.
LEGDATA-072,P0,constraint_topology,legs[2].constraint_topology.K_joint_type,constraint_topology.csv,missing_required,,"Adams constraint graph, CAD mate definitions, or author topology table",cad_export;adams_export;author_data;measured;calibrated;paper;computed_from_source;engineering_data,False,Use a traceable non-synthetic source. Leave blank until real source data are available.
LEGDATA-073,P0,constraint_topology,legs[2].constraint_topology.P_joint_type,constraint_topology.csv,missing_required,,"Adams constraint graph, CAD mate definitions, or author topology table",cad_export;adams_export;author_data;measured;calibrated;paper;computed_from_source;engineering_data,False,Use a traceable non-synthetic source. Leave blank until real source data are available.
LEGDATA-074,P0,constraint_topology,legs[2].constraint_topology.absorber_slider_axis_xyz,constraint_topology.csv,missing_required,,"Adams constraint graph, CAD mate definitions, or author topology table",cad_export;adams_export;author_data;measured;calibrated;paper;computed_from_source;engineering_data,False,Use a traceable non-synthetic source. Leave blank until real source data are available.
LEGDATA-075,P0,constraint_topology,legs[2].constraint_topology.joint_limit_definitions,constraint_topology.csv,missing_required,,"Adams constraint graph, CAD mate definitions, or author topology table",cad_export;adams_export;author_data;measured;calibrated;paper;computed_from_source;engineering_data,False,Use a traceable non-synthetic source. Leave blank until real source data are available.
LEGDATA-076,P0,body_properties,legs[2].body_properties.main_strut.mass_kg,body_properties.csv,missing_required,,CAD mass-property export or validated component mass budget,cad_export;adams_export;author_data;measured;calibrated;paper;computed_from_source;engineering_data,False,Use a traceable non-synthetic source. Leave blank until real source data are available.
LEGDATA-077,P0,body_properties,legs[2].body_properties.main_strut.com_xyz_m,body_properties.csv,missing_required,,CAD mass-property export or validated component mass budget,cad_export;adams_export;author_data;measured;calibrated;paper;computed_from_source;engineering_data,False,Use a traceable non-synthetic source. Leave blank until real source data are available.
LEGDATA-078,P0,body_properties,legs[2].body_properties.main_strut.inertia_kg_m2,body_properties.csv,missing_required,,CAD mass-property export or validated component mass budget,cad_export;adams_export;author_data;measured;calibrated;paper;computed_from_source;engineering_data,False,Use a traceable non-synthetic source. Leave blank until real source data are available.
LEGDATA-079,P0,body_properties,legs[2].body_properties.long_auxiliary_strut.mass_kg,body_properties.csv,missing_required,,CAD mass-property export or validated component mass budget,cad_export;adams_export;author_data;measured;calibrated;paper;computed_from_source;engineering_data,False,Use a traceable non-synthetic source. Leave blank until real source data are available.
LEGDATA-080,P0,body_properties,legs[2].body_properties.long_auxiliary_strut.com_xyz_m,body_properties.csv,missing_required,,CAD mass-property export or validated component mass budget,cad_export;adams_export;author_data;measured;calibrated;paper;computed_from_source;engineering_data,False,Use a traceable non-synthetic source. Leave blank until real source data are available.
LEGDATA-081,P0,body_properties,legs[2].body_properties.long_auxiliary_strut.inertia_kg_m2,body_properties.csv,missing_required,,CAD mass-property export or validated component mass budget,cad_export;adams_export;author_data;measured;calibrated;paper;computed_from_source;engineering_data,False,Use a traceable non-synthetic source. Leave blank until real source data are available.
LEGDATA-082,P0,body_properties,legs[2].body_properties.short_auxiliary_strut.mass_kg,body_properties.csv,missing_required,,CAD mass-property export or validated component mass budget,cad_export;adams_export;author_data;measured;calibrated;paper;computed_from_source;engineering_data,False,Use a traceable non-synthetic source. Leave blank until real source data are available.
LEGDATA-083,P0,body_properties,legs[2].body_properties.short_auxiliary_strut.com_xyz_m,body_properties.csv,missing_required,,CAD mass-property export or validated component mass budget,cad_export;adams_export;author_data;measured;calibrated;paper;computed_from_source;engineering_data,False,Use a traceable non-synthetic source. Leave blank until real source data are available.
LEGDATA-084,P0,body_properties,legs[2].body_properties.short_auxiliary_strut.inertia_kg_m2,body_properties.csv,missing_required,,CAD mass-property export or validated component mass budget,cad_export;adams_export;author_data;measured;calibrated;paper;computed_from_source;engineering_data,False,Use a traceable non-synthetic source. Leave blank until real source data are available.
LEGDATA-085,P0,body_properties,legs[2].body_properties.footpad.mass_kg,body_properties.csv,missing_required,,CAD mass-property export or validated component mass budget,cad_export;adams_export;author_data;measured;calibrated;paper;computed_from_source;engineering_data,False,Use a traceable non-synthetic source. Leave blank until real source data are available.
LEGDATA-086,P0,body_properties,legs[2].body_properties.footpad.com_xyz_m,body_properties.csv,missing_required,,CAD mass-property export or validated component mass budget,cad_export;adams_export;author_data;measured;calibrated;paper;computed_from_source;engineering_data,False,Use a traceable non-synthetic source. Leave blank until real source data are available.
LEGDATA-087,P0,body_properties,legs[2].body_properties.footpad.inertia_kg_m2,body_properties.csv,missing_required,,CAD mass-property export or validated component mass budget,cad_export;adams_export;author_data;measured;calibrated;paper;computed_from_source;engineering_data,False,Use a traceable non-synthetic source. Leave blank until real source data are available.
LEGDATA-088,P0,azimuths,legs[3].azimuth_deg,leg_azimuths.csv,engineering_assumption,315.0,CAD/Adams leg layout export or published four-leg azimuth table,cad_export;adams_export;author_data;measured;calibrated;paper;computed_from_source;engineering_data,False,Use a traceable non-synthetic source. Leave blank until real source data are available.
LEGDATA-089,P0,marker_coordinates,legs[3].adams_equivalent_geometry.B_rocket_marker_xyz_m.x,marker_coordinates.csv,missing_required,,CAD/Adams marker export for B/T/K/P in a declared rocket body frame,cad_export;adams_export;author_data;measured;calibrated;paper;computed_from_source;engineering_data,False,Use a traceable non-synthetic source. Leave blank until real source data are available.
LEGDATA-090,P0,marker_coordinates,legs[3].adams_equivalent_geometry.B_rocket_marker_xyz_m.y,marker_coordinates.csv,missing_required,,CAD/Adams marker export for B/T/K/P in a declared rocket body frame,cad_export;adams_export;author_data;measured;calibrated;paper;computed_from_source;engineering_data,False,Use a traceable non-synthetic source. Leave blank until real source data are available.
LEGDATA-091,P0,marker_coordinates,legs[3].adams_equivalent_geometry.T_rocket_marker_xyz_m.x,marker_coordinates.csv,missing_required,,CAD/Adams marker export for B/T/K/P in a declared rocket body frame,cad_export;adams_export;author_data;measured;calibrated;paper;computed_from_source;engineering_data,False,Use a traceable non-synthetic source. Leave blank until real source data are available.
LEGDATA-092,P0,marker_coordinates,legs[3].adams_equivalent_geometry.T_rocket_marker_xyz_m.y,marker_coordinates.csv,missing_required,,CAD/Adams marker export for B/T/K/P in a declared rocket body frame,cad_export;adams_export;author_data;measured;calibrated;paper;computed_from_source;engineering_data,False,Use a traceable non-synthetic source. Leave blank until real source data are available.
